iter	Passed	Remaining
405	7470	10930
406	7495	10920
407	7518	10909
408	7537	10891
409	7559	10877
410	7581	10865
411	7605	10853
412	7627	10841
413	7647	10825
414	7668	10810
415	7692	10799
416	7715	10787
417	7735	10771
418	7755	10753
419	7774	10735
420	7795	10720
421	7814	10703
422	7832	10683
423	7851	10666
424	7870	10648
425	7889	10630
426	7905	10609
427	7923	10589
428	7940	10568
429	7959	10550
430	7986	10544
431	8010	10532
432	8034	10520
433	8052	10502
434	8071	10483
435	8091	10466
436	8112	10451
437	8133	10435
438	8154	10421
439	8179	10410
440	8200	10395
441	8223	10381
442	8239	10359
443	8260	10343
444	8278	10325
445	8297	10306
446	8318	10291
447	8338	10273
448	8356	10255
449	8376	10238
450	8394	10218
451	8413	10200
452	8432	10182
453	8452	10165
454	8471	10147
455	8489	10127
456	8506	10107
457	8523	10086
458	8537	10062
459	8554	10041
460	8573	10024
461	8591	10005
462	8611	9988
463	8630	9969
464	8649	9951
465	8669	9934
466	8687	9915
467	8706	9897
468	8726	9880
469	8747	9864
470	8768	9848
471	8788	9831
472	8808	9814
473	8829	9797
474	8851	9783
475	8870	9765
476	8890	9747
477	8910	9730
478	8928	9710
479	8948	9693
480	8968	9677
481	8986	9658
482	9007	9641
483	9027	9624
484	9046	9605
485	9065	9588
486	9083	9568
487	9101	9549
488	9118	9528
489	9135	9508
490	9154	9490
491	9172	9470
492	9189	9450
493	9208	9432
494	9228	9414
495	9248	9397
496	9270	9382
497	9296	9371
498	9316	9353
499	9337	9337
500	9359	9322
501	9380	9306
502	9400	9288
503	9419	9270
504	9439	9252
505	9458	9234
506	9479	9218
507	9498	9199
508	9518	9181
509	9536	9162
510	9556	9145
511	9578	9129
512	9596	9110
513	9613	9089
514	9631	9070
515	9648	9049
516	9666	9030
517	9682	9009
518	9700	8990
519	9717	8970
520	9734	8949
521	9751	8929
522	9771	8911
523	9786	8889
524	9804	8870
525	9824	8852
526	9841	8832
527	9858	8812
528	9876	8793
529	9894	8774
530	9911	8754
531	9928	8734
532	9946	8714
533	9962	8694
534	9979	8673
535	9997	8654
536	10016	8636
537	10034	8617
538	10052	8597
539	10070	8578
540	10088	8559
541	10106	8540
542	10125	8521
543	10145	8504
544	10164	8486
545	10179	8464
546	10197	8445
547	10214	8425
548	10231	8404
549	10247	8384
550	10265	8364
551	10280	8343
552	10293	8320
553	10310	8300
554	10326	8280
555	10343	8259
556	10361	8240
557	10380	8222
558	10401	8205
559	10420	8187
560	10439	8169
561	10459	8151
562	10477	8132
563	10495	8113
564	10512	8093
565	10552	8091
566	10579	8079
567	10617	8074
568	10643	8061
569	10663	8044
570	10683	8026
571	10700	8006
572	10718	7987
573	10737	7968
574	10754	7949
575	10773	7930
576	10789	7909
577	10807	7890
578	10826	7871
579	10844	7852
580	10862	7833
581	10879	7813
582	10896	7794
583	10913	7773
584	10931	7755
585	10949	7735
586	10965	7715
587	10982	7695
588	10999	7675
589	11017	7655
590	11034	7636
591	11051	7616
592	11070	7598
593	11089	7579
594	11105	7559
595	11124	7540
596	11141	7521
597	11160	7502
598	11176	7482
599	11195	7463
600	11210	7442
601	11227	7422
602	11245	7403
603	11262	7384
604	11279	7364
605	11297	7344
606	11315	7326
607	11332	7306
608	11349	7286
609	11368	7268
610	11389	7250
611	11407	7232
612	11425	7213
613	11442	7193
614	11467	7178
615	11489	7162
616	11508	7143
617	11528	7125
618	11544	7105
619	11563	7087
620	11583	7069
621	11618	7060
622	11640	7043
623	11661	7026
624	11680	7008
625	11699	6989
626	11719	6971
627	11739	6953
628	11757	6934
629	11777	6916
630	11796	6898
631	11816	6880
632	11844	6867
633	11885	6861
634	11911	6846
635	11933	6830
636	11950	6810
637	11968	6791
638	11988	6772
639	12006	6753
640	12023	6734
641	12042	6715
642	12059	6695
643	12074	6674
644	12091	6654
645	12109	6636
646	12127	6616
647	12147	6598
648	12164	6578
649	12181	6559
650	12200	6540
651	12219	6521
652	12236	6502
653	12255	6484
654	12274	6464
655	12290	6444
656	12308	6425
657	12327	6407
658	12345	6388
659	12361	6368
660	12380	6349
661	12397	6330
662	12415	6310
663	12427	6288
664	12445	6269
665	12463	6250
666	12480	6230
667	12492	6208
668	12512	6190
669	12530	6171
670	12550	6153
671	12567	6134
672	12587	6115
673	12606	6097
674	12626	6079
675	12643	6059
676	12656	6038
677	12672	6018
678	12689	5999
679	12703	5978
680	12723	5959
681	12742	5941
682	12759	5922
683	12779	5903
684	12796	5884
685	12815	5866
686	12834	5847
687	12850	5827
688	12869	5809
689	12886	5789
690	12904	5770
691	12923	5752
692	12940	5732
693	12957	5713
694	12975	5694
695	12992	5674
696	13008	5655
697	13027	5636
698	13045	5617
699	13063	5598
700	13080	5579
701	13099	5560
702	13117	5541
703	13133	5522
704	13153	5503
705	13172	5485
706	13188	5465
707	13206	5446
708	13222	5427
709	13241	5408
710	13259	5389
711	13276	5370
712	13294	5351
713	13312	5332
714	13330	5313
715	13349	5295
716	13363	5274
717	13380	5255
718	13399	5236
719	13417	5217
720	13438	5200
721	13458	5182
722	13476	5163
723	13490	5142
724	13509	5124
725	13526	5104
726	13541	5085
727	13560	5066
728	13578	5047
729	13599	5029
730	13618	5011
731	13639	4993
732	13658	4975
733	13678	4957
734	13694	4937
735	13709	4917
736	13726	4898
737	13744	4879
738	13761	4860
739	13779	4841
740	13799	4823
741	13816	4804
742	13836	4785
743	13854	4767
744	13873	4748
745	13887	4728
746	13906	4709
747	13924	4691
748	13943	4672
749	13961	4653
750	13980	4635
751	13997	4616
752	14017	4598
753	14034	4579
754	14054	4560
755	14071	4541
756	14089	4522
757	14106	4503
758	14123	4484
759	14144	4466
760	14164	4448
761	14182	4429
762	14198	4410
